NO,TANGGAL ORDER,TANGGAL BONGKAR,KOTA,TUJUAN BONGKAR, TARIF , TONASE MUAT , TONASE BONGKAR  , OMSET , PAJAK 1% ,POT 2% LJU,5% UJ GRB, SANGU (31 TON) , PROFIT , TOLERANSI 0.3% , SELISIH MUAT , KLAIM , KLAIM DRIVER ,PEMBAYARAN, INSENTIF ,DIBAYARKAN,PEMBAYARAN,BANTUAN UANG MAKAN,PEMBAYARAN,TABUNGAN,PEMBAYARAN,MAS MAWAN (CV. SATRIA PERWIRA)/DO,PEMBAYARAN,MBAH MAN (SILOG)/DO,PEMBAYARAN,CATATAN,TOLERANSI MUATAN 0.3%,KLAIM 
18,"Jumat, 8 Agustus 2025","Senin, 11 Agustus 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,-,"33,43","  6.354.374,40 ",,,,"2.800.000,00","3.229.374,40",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Agu 25,"75.000,00",Sudah dibayar 13 Agu 25,-,-,"100.000,00",Sudah dibayar 9 Agu 25 5rit,"50.000,00",Sudah dibayar 9 Agu 25 2rit,"9 Agu 25 Mas Mawan 500.000 (5rit), 9 Agu 25 Mbah Man 100.000 (2rit)",,
18,"Rabu, 13 Agustus 2025","Jumat, 15 Agustus 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,-,"33,21","  6.312.556,80 ",,,,"2.800.000,00","3.262.556,80",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Agu 25,"0,00",-,-,-,"100.000,00",Sudah dibayar 12 Sep 25 10rit,"50.000,00",Sudah dibayar 25 Agu 25 2rit,,,
19,"Minggu, 17 Agustus 2025","Selasa, 19 Agustus 2025",KARANGANYAR BI22,DUTA SARANA PERKASA (KARANGANYAR),"164.989,4",-,"34,13","  5.631.088,22 ",,,,"2.650.000,00","2.681.088,22",-,-,-,-,-,"50.000,00","150.000,00",Sudah dibayar 17 Agu 25,"0,00",-,-,-,"100.000,00",Sudah dibayar 12 Sep 25 10rit,"50.000,00",Sudah dibayar 25 Agu 25 2rit,17 Agu 25 Mas Yono Insentif 1.910.000 (18 rit),,
20,"Jumat, 22 Agustus 2025","Sabtu, 23 Agustus 2025",MAGELANG,GEMILANG MAKMUR (MAGELANG),196.733,-,"33,08","  6.507.936,90 ",,,,"3.100.000,00","3.157.936,90",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 12 Sep 25 10rit,"50.000,00",Sudah dibayar 25 Agu 25 2rit,25 Agu 25 Mbah Man 150.000 (3rit),,
21,"Senin, 25 Agustus 2025","Rabu, 27 Agustus 2025",SITUBONDO,WITON/ PRY TOL (SITUBONDO),165.335,-,"32,06","  5.300.640,10 ",,,,"2.600.000,00","2.460.640,10",-,-,-,-,-,"40.000,00","40.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 28 Agu 25,-,-,"100.000,00",Sudah dibayar 12 Sep 25 10rit,"50.000,00",Sudah dibayar 7 Sep 25 4rit,,,
23,"Kamis, 28 Agustus 2025","Jumat, 29 Agustus 2025",SURABAYA  DG37,UNGGUL JAYA BETON (SURBAYA),"85.916,2",-,"33,28","  2.859.291,14 ",,,,"1.600.000,00","1.009.291,14",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 12 Sep 25 10rit,"50.000,00",Sudah dibayar 7 Sep 25 4rit,,,
24,"Minggu, 31 Agustus 2025","Rabu, 3 September 2025",KARANGANYAR BI22,DUTA SARANA PERKASA (KARANGANYAR),"164.989,4",-,"33,02","  5.447.949,99 ",,,,"2.650.000,00","2.497.949,99",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 5 Sep 25,-,-,"100.000,00",Sudah dibayar 12 Sep 25 10rit,"50.000,00",Sudah dibayar 7 Sep 25 4rit,,,
25,"Jumat, 5 September 2025","Sabtu, 6 September 2025",BOJONEGORO,EDOMIX MEGA BETON (BOJONEGORO),82.906,-,"32,36","  2.682.838,16 ",,,,"1.250.000,00","1.262.838,16",-,-,-,-,-,"20.000,00","20.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 12 Sep 25 10rit,"50.000,00",Sudah dibayar 7 Sep 25 4rit,7 Sep 25 Mbah Man 200.000 (4rit),,
26,"Minggu, 7 September 2025","Senin, 8 September 2025",JOMBANG,TRIJAYA ADYMIX (NGORO),103.334,-,"31,74","  3.279.833,86 ",,,,"1.600.000,00","1.529.833,86",-,-,-,-,-,"30.000,00","0,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 12 Sep 25 10rit,"50.000,00",Sudah dibayar 23 Sep 25 6 rit,"Selisih 460 kg, 32.20 jadi 31.74",,
27,"Senin, 8 September 2025","Selasa, 9 September 2025",MAGELANG,GEMILANG MAKMUR (MAGELANG),196.733,-,"29,52","  5.807.566,43 ",,,,"3.100.000,00","2.557.566,43",-,-,-,-,-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 12 Sep 25 10rit,"50.000,00",Sudah dibayar 23 Sep 25 6 rit,Surat Order Tambahan 30 ton batas,,
28,"Rabu, 10 September 2025","Sabtu, 13 September 2025",UNGARAN,KH BETON (UNGARAN),190.080,-,"32,60","  6.196.608,00 ",,,,"2.800.000,00","3.096.608,00",-,-,-,-,-,"50.000,00","50.000,00",Sudah dibayar 17 Mar 26,"100.000,00",Sudah dibayar 14 Sep 25,-,-,"100.000,00",Sudah dibayar 12 Sep 25 10rit,"50.000,00",Sudah dibayar 23 Sep 25 6 rit,12 Sep 25 Mas Mawan 1.000.000 (10rit),,
29,"Sabtu, 13 September 2025","Senin, 15 September 2025",KARANGANYAR BI22,DUTA SARANA PERKASA (KARANGANYAR),"164.989,4",-,"34,40","  5.675.635,36 ",,,,"2.650.000,00","2.725.635,36",-,-,-,-,-,"50.000,00","150.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 7 Okt 25 5rit,"50.000,00",Sudah dibayar 23 Sep 25 6 rit,,,
30,"Rabu, 17 September 2025","Jumat, 19 September 2025",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,-,"35,40","  4.126.011,60 ",,,,"1.900.000,00","1.936.011,60",-,-,-,-,-,"35.000,00","140.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 7 Okt 25 5rit,"50.000,00",Sudah dibayar 23 Sep 25 6 rit,"Selisih 560 kg, 35.96 jadi 35.40",,
31,"Sabtu, 20 September 2025","Minggu, 21 September 2025",UNGARAN,KH BETON (UNGARAN),190.080,-,"33,29","  6.327.763,20 ","  63.277,63 ",,,"2.800.000,00","3.214.485,57",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 7 Okt 25 5rit,"50.000,00",Sudah dibayar 23 Sep 25 6 rit,23 Sep 25 Mbah Man 300.000 (6rit),,
32,"Selasa, 23 September 2025","Rabu, 24 September 2025",UNGARAN,KH BETON (UNGARAN),190.080,-,"32,78","  6.230.822,40 ","  62.308,22 ",,,"2.800.000,00","3.168.514,18",-,-,-,-,-,"50.000,00","50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 7 Okt 25 5rit,"50.000,00",Sudah dibayar 29 Sep 25 1 rit,,,
33,"Kamis, 25 September 2025","Kamis, 25 September 2025",KUDUS,MITRA BETON PERKASA (KUDUS),77.899,-,"34,62","  2.696.863,38 ","  26.968,63 ",,,"1.500.000,00","994.894,75",-,-,-,-,-,"25.000,00","75.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 7 Okt 25 5rit,,,Mbah Man 150.000/Bulan sekarang ,,
34,"Sabtu, 27 September 2025","Senin, 29 September 2025",BOJONEGORO,EDOMIX MEGA BETON (BOJONEGORO),82.906,-,"32,70","  2.711.026,20 ","  27.110,26 ",,,"1.250.000,00","1.313.915,94",-,-,-,-,-,"20.000,00","20.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,,,
35,"Senin, 29 September 2025","Selasa, 30 September 2025",BOJONEGORO,EDOMIX KIRUN TANGGUH (BOJONEGORO),82.906,-,"35,72","  2.961.402,32 ","  29.614,02 ",,,"1.250.000,00","1.501.788,30",-,-,-,-,-,"20.000,00","80.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,"Mbah Man Pensiun, 29 Sep 25 Mbah Man 50.000 (1rit)",,
36,"Rabu, 1 Oktober 2025","Jumat, 3 Oktober 2025",UNGARAN,KH BETON (UNGARAN),190.080,-,"32,49","  6.175.699,20 ","  61.756,99 ",,,"2.800.000,00","3.163.942,21",-,-,-,-,-,"50.000,00","50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,"Selisih 370 kg, 32.86 jadi 32.49",,
37,"Senin, 6 Oktober 2025","Rabu, 8 Oktober 2025",UNGARAN,KH BETON (UNGARAN),190.080,-,"33,13","  6.297.350,40 ","  62.973,50 ",,,"2.800.000,00","3.234.376,90",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,"Selisih 30 kg, 31.16 jadi 31.13, 7 Okt 25 Mas Mawan 500.000 (5rit)",,
38,"Rabu, 8 Oktober 2025","Kamis, 9 Oktober 2025",SUKOHARJO,GRIYA PAVING MANDIRI (SUKOHARJO),147.316,-,"33,36","  4.914.461,76 ","  49.144,62 ",,,"2.800.000,00","1.865.317,14",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,,,
39,"Senin, 13 Oktober 2025","Selasa, 14 Oktober 2025",UNGARAN,KH BETON (UNGARAN),190.080,-,"33,65","  6.396.192,00 ","  63.961,92 ",,,"2.800.000,00","3.332.230,08",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,"Selisih 350kg, 34 jadi 33.65",,
40,"Rabu, 15 Oktober 2025","Rabu, 15 Oktober 2025",BLORA,PERDANA MULIA BETON (RANDUBLATUNG),101.477,-,"34,56","  3.507.045,12 ","  35.070,45 ",,,"1.700.000,00","1.581.974,67",-,-,-,-,-,"30.000,00","90.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,salah hitung ,,
41,"Kamis, 16 Oktober 2025","Kamis, 16 Oktober 2025",KEDIRI,LANCARJAYA MANDIRI (KEDIRI),92.448,-,"32,72","  3.024.898,56 ","  30.248,99 ",,,"1.850.000,00","1.014.649,57",-,-,-,-,-,"30.000,00","30.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,1.800.000+50.000 Toll mas yon,,
42,"Sabtu, 18 Oktober 2025","Selasa, 21 Oktober 2025",UNGARAN,KH BETON (UNGARAN),190.080,-,"32,18","  6.116.774,40 ","  61.167,74 ",,,"2.800.000,00","3.105.606,66",-,-,-,-,-,"50.000,00","50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,"Selisih 440kg, 32.62 jadi 32.18",,
43,"Kamis, 23 Oktober 2025","Jumat, 24 Oktober 2025",DEMAK BF01,NUSANTARA BUILDING INDUSTRI (DEMAK KARANG TENGAH),"110.246,40",-,"33,04","  3.642.541,06 ","  36.425,41 ",,,"1.800.000,00","1.606.115,65",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,"Selisih 280kg, 33.32 jadi 33.04",,
44,"Senin, 27 Oktober 2025","Senin, 27 Oktober 2025",BOJONEGORO,EDOMIX KIRUN TANGGUH (BOJONEGORO),82.906,-,"33,48","  2.775.692,88 ","  27.756,93 ",,,"1.250.000,00","1.357.935,95",-,-,-,-,-,"20.000,00","40.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,,,
45,"Selasa, 28 Oktober 2025","Kamis, 30 Oktober 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,-,"32,96","  6.265.036,80 ","  62.650,37 ",,,"2.800.000,00","3.202.386,43",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 28 Okt 25 12rit,,,"28 Okt 25 Mas Mawan 1.200.000 (12rit), Kasbon mas Mawan 2juta lunas (8rit hijau), Selisih 160kg, 33.12 jadi 32.96",,
46,"Jumat, 31 Oktober 2025","Sabtu, 1 November 2025",UNGARAN,KH BETON (UNGARAN),190.080,-,"31,70","  6.025.536,00 ","  60.255,36 ",,,"2.800.000,00","3.015.280,64",-,-,-,-,-,"50.000,00","50.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 5 Nov 25 3rit,,,"5 Nov 25 Mas Mawan 300.000 (3rit), Cicilan Mawan 600rb lunas (3rit hijau)",,
47,"Senin, 3 November 2025","Rabu, 5 November 2025",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,-,"31,40","  3.659.795,60 ","  36.597,96 ",,,"1.900.000,00","1.623.197,64",-,-,-,-,-,"35.000,00","0,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 5 Nov 25 3rit,,,,,
48,"Kamis, 6 November 2025","Minggu, 9 November 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,-,"31,38","  5.964.710,40 ","  59.647,10 ",,,"2.800.000,00","2.955.063,30",-,-,-,-,-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 11 Nov 25,-,-,"100.000,00",Sudah dibayar 5 Nov 25 3rit,,,"Lebih 540kg, 30.84 jadi 31,38",,
49,"Selasa, 11 November 2025","Kamis, 13 November 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,-,"33,30","  6.329.664,00 ","  63.296,64 ",,,"2.800.000,00","3.266.367,36",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 14 Nov 25 2rit,,,"Selisih 40kg, 33.34 jadi 33.3. Mas Mawan Kasbon 600.000",,
50,"Jumat, 14 November 2025","Senin, 17 November 2025",UNGARAN,KH BETON (UNGARAN),190.080,-,"34,73","  6.601.478,40 ","  66.014,78 ",,,"2.800.000,00","3.435.463,62",-,-,-,-,-,"50.000,00","150.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 18 Nov 25,-,-,"100.000,00",Sudah dibayar 14 Nov 25 2rit,,,"Mas Mawan Lunas (2rit putih, 4rit hijau)",,
51,"Selasa, 18 November 2025","Rabu, 19 November 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,-,"34,30","  6.519.744,00 ","  65.197,44 ",,,"2.800.000,00","3.404.546,56",-,-,-,-,-,"50.000,00","150.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 25 Nov 25 3rit,,,"Lebih 80kg, 34.22 jadi 34.3",,
52,"Jumat, 21 November 2025","Minggu, 23 November 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,-,"32,48","  6.173.798,40 ","  61.737,98 ",,,"2.800.000,00","3.112.060,42",-,-,-,-,-,"50.000,00","50.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 24 Nov 25,-,-,"100.000,00",Sudah dibayar 25 Nov 25 3rit,,,"Kurang 260kg, 32.74 jadi 32.48",,
53,"Senin, 24 November 2025","Sabtu, 29 November 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,-,"34,52","  6.561.561,60 ","  65.615,62 ",,,"2.800.000,00","3.295.945,98",-,-,-,-,-,"50.000,00","150.000,00",Sudah dibayar 17 Mar 26,"150.000,00",Sudah dibayar 1 Des 25,-,-,"100.000,00",Sudah dibayar 25 Nov 25 3rit,,,"Lebih 20kg, 34.5 jadi 34.52, 25 Nov 25 Mas Mawan 3 rit (3 rit hijau)",,
54,"Senin, 1 Desember 2025","Selasa, 2 Desember 2025",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,-,"36,68","  4.275.200,72 ","  42.752,01 ",,,"1.900.000,00","2.057.448,71",-,-,-,-,-,"35.000,00","175.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 13 Des 25 5rit,,,,,
55,"Kamis, 4 Desember 2025","Sabtu, 6 Desember 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,-,"32,60","  6.196.608,00 ","  61.966,08 ",,,"2.800.000,00","3.134.641,92",-,-,-,-,-,"50.000,00","50.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 8 Des 25,-,-,"100.000,00",Sudah dibayar 13 Des 25 5rit,,,"Kurang 220kg, 32.82 jadi 32.60",,
56,"Senin, 8 Desember 2025","Selasa, 9 Desember 2025",UNGARAN,KH BETON (UNGARAN),190.080,-,"33,04","  6.280.243,20 ","  62.802,43 ",,,"2.800.000,00","3.217.440,77",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 13 Des 25 5rit,,,"Kurang 100kg, 33.14 jadi 33.04",,
57,"Rabu, 10 Desember 2025","Rabu, 10 Desember 2025",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,-,"35,10","  4.091.045,40 ","  40.910,45 ",,,"1.900.000,00","1.910.134,95",-,-,-,-,-,"35.000,00","140.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 13 Des 25 5rit,,,,,
58,"Kamis, 11 Desember 2025","Sabtu, 13 Desember 2025",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,-,"32,60","  3.799.660,40 ","  37.996,60 ",,,"1.900.000,00","1.726.663,80",-,-,-,-,-,"35.000,00","35.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 13 Des 25 5rit,,,"13 Des 25 Mas Mawan 10 rit (5 rit putih,5 rit hijau)",,
59,"Sabtu, 13 Desember 2025","Senin, 15 Desember 2025",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,-,"33,80","  3.939.525,20 ","  39.395,25 ",,,"1.900.000,00","1.830.129,95",-,-,-,-,-,"35.000,00","70.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 20 Des 25 5rit,,,,,
